25869	24285	4	89.01
131	18092	3	9.63
208	716	10	10.65
124	427	61	36.84
313	35813	3	30.02
180	354	20	8.36
179	1002	12	17.06
339	176	21	7.63
1537	7769	3	25.66
1831	466	3	8.32
270	1267	10	27.54
5418	3861	4	41.13
1892	337	5	14.47
106	8850	7	10.73
453	107	65	7.49
180	7080	3	8.2
4573	102	18	8.19
427	186	15	9.27
126	6247	6	9.61
10940	150	3	7.75
22644	27862	4	84.01
8445	119	6	10.89
584	276	8	8.17
8473	128	4	6.66
15513	126	6	27.73
1033	129	23	19
1568	296	5	10.85
104	21101	4	7.71
15577	3170	5	77.64
2802	415	3	10.1
6224	172	3	6.91
12	3025	36	11.74
102	3832	22	9.9
249	103	368	59.6
34311	103	3	8.01
10255	104	8	11.13
6290	112	10	16.24
1282	13810	6	69.56
127	1127	16	7.11
1464	8128	3	25.82
1330	2156	3	15.88
692	2013	3	11.4
102	1968	42	15.12
101	1049	67	10.84
14793	116	4	7.7
9097	262	4	21.14
185	1554	6	7.16
117	10837	7	19.71
3065	128	12	18.11
7091	155	4	9.53
2104	582	17	120.99
8433	116	6	8.67
248	7205	4	17.73
3031	165	5	7.35
15493	12646	5	86.8
104	7794	11	14.48
9909	147	4	10.46
5658	175	4	10.67
900	17690	5	58.22
357	5	4	9.26
10450	120	6	14.42
124	21697	4	17.22
514	1930	3	9.21
129	5807	6	9.9
992	506	6	19.63
477	1557	4	12.13
112	26715	3	8.85
102	6097	15	9.97
5011	815	3	18.61
2101	8	13	15.03
896	698	3	6.9
386	143	40	14.72
105	7462	8	9.36
3480	479	3	12.26
8	24426	3	13.39
158	7376	3	6.94
451	196	15	10.46
2488	848	3	14.16
3604	2505	3	23.24
1265	188	7	8
284	790	9	17.4
105	3979	15	13.4
186	3100	5	11.32
14365	14364	8	166.94
157	3809	5	8.07
310	764	6	8.05
155	3082	6	8.42
1681	514	3	8.44
29601	34105	3	68.49
13800	122	4	9.1
8560	128	4	6.66
104	1872	42	35.27
189	224	30	7.57
105	1757	26	11.03
12	391	298	38.46
3154	270	3	6.91
186	626	11	8.5
1615	587	3	8.96
455	193	34	65.21
481	20538	5	56.37
9404	241	3	13.19
38102	45	3	23.46
1411	1255	6	34.28
166	11730	5	24.44
138	10596	4	10
4161	1661	7	63.28
4513	225	3	7.62
119	28644	3	10.41
426	2196	3	8.71
8062	828	3	22.61
126	4854	19	69.54
12	22436	5	7.31
1567	635	5	20.35
206	623	25	56.49
9	17268	5	21.67
57	15746	3	9.43
121	1506	16	6.83
272	3415	3	7.37
125	1013	23	14.81
120	1137	48	77.48
211	1526	6	9.18
209	229	31	14.91
243	3381	7	26.57
1031	5161	4	29.59
657	3392	3	14.28
1165	3197	5	34.82
174	3806	9	30.24
239	873	23	74.9
109	13654	7	20.18
12	19831	6	8.77
2282	108	20	14.4
3332	189	6	15.96
4162	7737	3	32.18
8	2498	11	12.94
5118	111	12	18.2
111	9135	8	17.4
148	7359	4	8.52
12	22688	5	7.31
6175	147	5	10.02
17736	12909	5	91.26
138	9833	4	10
167	10801	5	23.34
274	7575	3	12.71
4509	162	4	7.02
107	11487	5	7.37
25176	105	4	14.92
549	1682	3	8.83
6700	13138	9	158.16
15575	2770	3	35.64
125	1440	21	21.71
122	585	39	12.04
622	276	9	11.77
624	1509	3	8.87
5379	59	5	8.37
9123	119	5	7.92
656	433	10	28.73
151	496	25	11.71
1703	708	3	10.58
12	16980	7	10.24
21	16	593	270.49
336	458	13	24.48
4739	1477	9	89.31
12641	103	8	12.58
752	107	49	17.65
307	237	19	12.66
8496	8497	15	294.14
271	249	17	6.94
545	1685	3	8.87
312	7516	3	13.88
113	10749	5	7.8
1021	1532	4	18.58
5466	117	14	33.15
1596	122	32	52.71
1089	309	5	8.18
572	1407	3	8.19
102	6405	15	12.97
107	24795	3	8.33
927	103	66	12.68
385	693	6	10.2
145	8286	4	8.51
34413	103	3	8.01
14612	111	4	7.41
4847	6640	3	32.52
993	3936	3	18.25
116	9016	6	9.51
451	1771	3	7.82
1373	610	5	19.11
