124	427	34	142.01
313	35813	3	46.65
2499	111	4	10.67
15161	14	4	12.47
106	8850	4	21.1
391	169	3	4.49
4093	131	3	13.75
128	3854	3	13.04
102	5450	3	4.64
2104	582	17	214.99
104	7794	3	9.7
1470	110	4	6.23
2459	102	10	21.12
451	196	4	11.95
105	3979	8	34.86
104	1872	27	123.86
105	1757	15	57.83
189	224	4	4.33
188	348	7	22.22
1615	587	3	25.17
455	193	20	121.43
38102	45	3	39.74
1411	1255	4	41.65
2463	14	24	59.37
166	11730	5	51.86
120	1137	35	211.7
717	537	3	19.48
206	623	19	132.75
8	2498	7	35.25
4292	14	9	15.55
109	8391	3	14.06
167	10801	3	26.56
622	276	3	12.71
624	1509	3	25.1
312	7516	3	30.38
1596	122	25	155.86
891	140	6	18.68
102	6405	4	9.84
11382	12	6	22.48
102	2931	9	20.8
157	511	3	5.21
127	499	6	9.37
101	1691	8	8.57
105	2840	8	28.85
216	656	3	10.99
8714	14	4	6.97
159	544	4	9.57
128	595	4	4.97
101	1412	12	16.91
7950	274	3	29.53
3872	10193	5	91.05
515	129	5	6.96
247	8198	4	41.23
578	947	3	21.69
8151	12	5	12.12
102	7181	5	15.58
126	1291	3	6.13
120	489	13	28.62
1231	138	128	1495.47
121	120	168	215.64
101	18810	4	21.65
2825	14	10	11.05
609	2409	9	104.64
4409	123	4	19.83
150	9629	3	22.64
9293	14	3	4.04
347	327	3	10
946	12	14	4.59
13275	8	5	43.61
202	130	36	84.87
2147	117	3	6.61
300	340	3	9.11
498	153	4	7.68
2598	126	8	42.3
2534	131	8	44.12
205	542	5	20.3
116	593	6	5.68
119	4058	11	69.88
113	2804	8	34.99
571	113	12	22.84
918	110	11	27.03
3801	14	12	24.26
115	19638	3	21.8
110	818	7	10.24
190	938	5	24.38
8106	13	3	19.13
28970	14	3	12.94
1425	107	12	41.17
102	25353	3	17.61
7347	107	3	12.81
107	268	64	168.44
5639	14	10	25.83
15140	104	3	14.69
2472	106	4	9.62
434	110	8	5
496	313	3	12.44
113	5714	5	25.48
117	1021	8	20.79
142	668	8	24.87
1665	120	4	9.93
17143	14	4	13.89
140	422	4	3.99
143	3950	4	21.98
16	665	17	54.64
101	13199	3	10.75
296	151	15	40.71
263	1275	3	16.94
9830	14	10	44.06
15660	20501	5	128.57
2297	106	4	9.07
163	227	5	4.31
120	15980	3	21.97
106	432	8	4.47
107	1057	8	16.74
381	179	10	39.39
229	9838	5	55.56
8	6121	9	71.04
4160	101	4	5.94
127	23693	3	29.13
272	210	6	15.6
3274	1154	4	48.07
121	384	7	5.64
5625	114	6	32.59
2392	156	6	36.13
103	4862	3	5.56
185	599	15	89.65
102	249	89	102.46
1236	118	6	14.97
105	3141	3	5.84
113	13083	3	18.5
113	8594	9	69.51
1463	113	3	3.99
153	7492	3	21.25
6618	120	3	14.45
477	602	42	473.77
306	13	75	387.98
3689	104	4	8.59
2666	102	5	5.42
102	21964	3	15.43
670	11893	3	40.56
3394	31352	3	63.33
120	5884	3	13.62
166	9657	4	36.54
2433	627	5	52.2
872	132	3	4.83
964	115	12	36.21
101	481	30	29.3
102	1399	11	14.29
8	17548	4	37.13
122	17472	5	47.76
4395	111	3	9.85
102	3378	4	4.66
101	2191	5	3.88
113	10243	7	53.47
860	129	6	16.05
386	348	5	24.13
7540	12	4	7.01
2584	111	17	97.05
14996	14	5	18.64
127	8126	13	130.3
352	613	4	22.19
573	103	31	58.18
132	112	302	735.24
217	3594	3	21.82
284	229	3	5.48
12	2820	32	127.29
653	4244	4	45.54
752	1282	4	36.35
847	129	3	4.4
747	16	11	29.12
16676	131	3	24.65
524	5137	5	59.17
916	497	10	93.14
2	4804	3	9.45
194	550	5	19.05
3190	14	9	10.43
225	1604	16	146.37
198	2151	6	43.07
101	12993	3	10.75
2178	104	7	15.03
119	842	6	10.94
774	113	8	14.6
1798	115	3	5.21
5441	14	9	20.39
113	1272	7	17.68
2603	101	22	84.53
2537	175	3	16.77
11008	12	3	6.43
6930	257	7	79.5
1114	107	4	4.18
736	2562	3	29.61
406	399	9	59.25
2	6425	5	24.69
106	4311	7	32.93
3051	18061	4	75.99
106	1585	25	129.44
4919	101	3	3.97
2869	223	3	20.73
348	138	12	26.68
10472	12	3	5.92
320	7661	6	71.67
102	15072	5	26.34
3682	111	5	19.57
1632	107	6	14.29
1071	12	20	18.51
127	10935	8	76.8
401	158	3	3.86
5987	14	5	6.86
107	21153	3	22.09
128	9256	3	19.31
366	163	78	576.47
115	3136	4	13.15
301	153	5	5.41
