33062	1
41264	2
44673	3
1482	4
21063	5
22134	6
71779	7
8490	8
7330	9
32595	10
24630	11
13521	12
65063	13
58332	14
1854	15
15659	16
72051	17
46229	18
11470	19
75122	20
61819	21
11308	22
17223	23
25956	24
30885	25
22105	26
85050	27
61999	28
51704	29
9911	30
6	31
17819	32
78034	33
9797	34
47601	35
22464	36
35256	37
61336	38
71125	39
61300	40
29333	41
52002	42
32734	43
28447	44
43134	45
75926	46
5086	47
9761	48
77581	49
55023	50
3740	51
56064	52
5913	53
55511	54
67635	55
80451	56
10562	57
4539	58
38257	59
58790	60
34191	61
12899	62
42473	63
35658	64
80611	65
20384	66
64600	67
51916	68
80003	69
21720	70
34296	71
5574	72
52286	73
34746	74
33609	75
4333	76
45982	77
25171	78
22848	79
15063	80
3629	81
2355	82
11869	83
52836	84
4707	85
82224	86
78862	87
7918	88
14537	89
45254	90
34057	91
3746	92
18122	93
6977	94
2914	95
852	96
82646	97
11949	98
43771	99
47622	100
26813	101
59287	102
59901	103
14777	104
14	105
45537	106
30628	107
20607	108
78409	109
62560	110
62673	111
44590	112
1509	113
66186	114
1946	115
79472	116
24276	117
77149	118
56525	119
77564	120
3618	121
2592	122
59064	123
9354	124
26956	125
17964	126
1319	127
79732	128
65104	129
74650	130
44021	131
3780	132
71352	133
42196	134
26396	135
3641	136
10052	137
7679	138
14645	139
34640	140
1009	141
60229	142
64183	143
3610	144
41799	145
33707	146
57391	147
19051	148
41033	149
3119	150
43817	151
45515	152
1842	153
67624	154
53855	155
34123	156
1186	157
83467	158
10045	159
65480	160
2353	161
70209	162
4560	163
9030	164
1271	165
34776	166
11504	167
54814	168
50557	169
557	170
68277	171
36850	172
36244	173
29611	174
33684	175
9111	176
10487	177
19890	178
2770	179
81181	180
47397	181
51776	182
57784	183
14623	184
75449	185
10057	186
69199	187
34727	188
74213	189
22946	190
43374	191
17004	192
59509	193
16286	194
30248	195
38734	196
38125	197
73726	198
51052	199
51410	200
39328	201
53939	202
1759	203
48988	204
89	205
60530	206
8670	207
45791	208
42101	209
18435	210
2319	211
40631	212
2574	213
8933	214
